ID,restaurant,calories,sat_fat,trans_fat,sodium
1,Mcdonalds,380,2,0,1110
2,Mcdonalds,840,17,1.5,1580
3,Mcdonalds,1130,27,3,1920
4,Mcdonalds,750,10,0.5,1940
5,Mcdonalds,920,12,0.5,1980
6,Mcdonalds,540,10,1,950
7,Mcdonalds,300,5,0.5,680
8,Mcdonalds,510,4,0,1040
9,Mcdonalds,430,11,1,1040
10,Mcdonalds,770,21,2.5,1290
11,Mcdonalds,380,4,0,640
12,Mcdonalds,620,13,1.5,790
13,Mcdonalds,530,7,0,1150
14,Mcdonalds,700,9,0,1190
15,Mcdonalds,250,3,0,480
16,Mcdonalds,290,1.5,0,630
17,Mcdonalds,640,14,1.5,1260
18,Mcdonalds,580,8,0,1890
19,Mcdonalds,740,9,0.5,1780
20,Mcdonalds,350,3.5,0,600
21,Mcdonalds,380,8,1,840
22,Mcdonalds,480,7,0,870
23,Mcdonalds,580,12,1.5,920
24,Mcdonalds,520,6,0,1540
25,Mcdonalds,680,7,0,1430
26,Mcdonalds,570,5,0,1050
27,Mcdonalds,530,4,0,1000
28,Mcdonalds,530,13,1.5,1090
29,Mcdonalds,670,12,1.5,1010
30,Mcdonalds,560,5,0,1550
31,Mcdonalds,730,7,0,1430
32,Mcdonalds,690,14,1.5,1310
33,Mcdonalds,630,7,0,1930
34,Mcdonalds,800,9,0.5,1820
35,Mcdonalds,370,3.5,0,910
36,Mcdonalds,480,4.5,0,1290
37,Mcdonalds,760,8,0.5,1890
38,Mcdonalds,1210,12,1,3230
39,Mcdonalds,1510,15,1,3770
40,Mcdonalds,2430,24,2,6080
41,Mcdonalds,180,2,0,340
42,Mcdonalds,270,2.5,0,510
43,Mcdonalds,440,4.5,0,840
44,Mcdonalds,890,9,0,1680
45,Mcdonalds,1770,18,0.5,3370
46,Mcdonalds,640,4,0,1780
47,Mcdonalds,960,6,0,2670
48,Mcdonalds,1600,10,0,4450
49,Mcdonalds,140,0.5,0,20
50,Mcdonalds,270,1,0,740
51,Mcdonalds,490,8,0,1120
52,Mcdonalds,190,5,0,660
53,Mcdonalds,320,6,0,1230
54,Mcdonalds,490,8,0,1120
55,Mcdonalds,220,3.5,0,500
56,Mcdonalds,350,4.5,0,1070
57,Mcdonalds,520,6,0,960
58,Chick Fil-A,430,8,0,1120
59,Chick Fil-A,310,2,0,820
60,Chick Fil-A,270,2.5,0,800
61,Chick Fil-A,120,3,0,320
62,Chick Fil-A,230,3,0,630
63,Chick Fil-A,350,3,0,940
64,Chick Fil-A,470,3,0,1250
65,Chick Fil-A,500,7,0,1590
66,Chick Fil-A,130,1.5,0,490
67,Chick Fil-A,190,1.5,0,730
68,Chick Fil-A,260,3,0,990
69,Chick Fil-A,390,1.5,0,1460
70,Chick Fil-A,970,2.5,0,3660
71,Chick Fil-A,490,3,0,1130
72,Chick Fil-A,440,4,0,1350
73,Chick Fil-A,70,1,0,220
74,Chick Fil-A,110,1,0,330
75,Chick Fil-A,140,1,0,440
76,Chick Fil-A,210,1,0,670
77,Chick Fil-A,430,4.5,0,1310
78,Chick Fil-A,450,6,0,1000
79,Chick Fil-A,500,0,0,1200
80,Chick Fil-A,450,4,0,1620
81,Chick Fil-A,540,8,0,1760
82,Chick Fil-A,350,5,0,960
83,Chick Fil-A,860,16,1,2520
84,Chick Fil-A,720,15,0,1780
85,Sonic,710,17,2,1120
86,Sonic,640,14,2,930
87,Sonic,340,6,1,640
88,Sonic,410,9,0.5,730
89,Sonic,380,6,1,470
90,Sonic,450,9,1,800
91,Sonic,600,16,2,1350
92,Sonic,870,20,2,1350
93,Sonic,640,14,2,790
94,Sonic,650,14,2,860
95,Sonic,740,15,2,760
96,Sonic,710,17,2,1120
97,Sonic,720,17,2,1190
98,Sonic,800,18,2,1090
99,Sonic,1280,36,4,1630
100,Sonic,1120,32,4,1550
101,Sonic,1130,32,4,1620
102,Sonic,1220,34,4,1520
103,Sonic,1120,32,4,1690
104,Sonic,450,4,0,1410
105,Sonic,450,4,0,1350
106,Sonic,450,4,0,1300
107,Sonic,610,7,0,1570
108,Sonic,680,9,0,1120
109,Sonic,430,4,0,940
110,Sonic,570,5,0,1060
111,Sonic,450,4,0,740
112,Sonic,280,2.5,0,800
113,Sonic,470,4.5,0,1340
114,Sonic,740,8,0,1550
115,Sonic,1000,12,0.5,4520
116,Sonic,1350,17,0,2180
117,Sonic,380,4,0,1250
118,Sonic,560,6,1,1890
119,Sonic,350,3,0,860
120,Sonic,610,5,0,1500
121,Sonic,970,8,1,2160
122,Sonic,1080,9,1,2390
123,Sonic,1190,10,1,2610
124,Sonic,330,3,0,670
125,Sonic,440,4,0,900
126,Sonic,550,5,0,1120
127,Sonic,730,8,0,1540
128,Sonic,100,15,0.5,2070
129,Sonic,370,7,0,1180
130,Sonic,430,7,0,2310
131,Sonic,410,11,0,1140
132,Sonic,340,7,0,1250
133,Sonic,320,7,0,870
134,Sonic,500,10,0,1410
135,Sonic,210,4,0,530
136,Sonic,830,22,1,1940
137,Sonic,320,7,0,910
138,Arbys,330,4,0,920
139,Arbys,400,3,0,1230
140,Arbys,450,6,1,1280
141,Arbys,630,11,1.5,2100
142,Arbys,650,12,1,1460
143,Arbys,690,9,0,1990
144,Arbys,690,9,0,1990
145,Arbys,540,4.5,0,2110
146,Arbys,650,9,0,1750
147,Arbys,690,10,0,2000
148,Arbys,550,4.5,0,1480
149,Arbys,540,11,1,2500
150,Arbys,360,5,0.5,970
151,Arbys,510,9,1.5,1610
152,Arbys,640,11,0.5,1950
153,Arbys,480,7,0,1610
154,Arbys,710,13,0,1360
155,Arbys,740,14,2,2530
156,Arbys,750,17,2,3350
157,Arbys,610,12,2,2040
158,Arbys,300,4,0,1030
159,Arbys,680,14,0.5,2270
160,Arbys,710,7,0.5,980
161,Arbys,840,6,0.5,1210
162,Arbys,240,1.5,0,640
163,Arbys,360,2.5,0,950
164,Arbys,600,4,0,1590
165,Arbys,680,8,0.5,2420
166,Arbys,550,7,1,1290
167,Arbys,710,7,0,1930
168,Arbys,520,9,0,1640
169,Arbys,800,10,0.5,2420
170,Arbys,620,11,0.5,2130
171,Arbys,740,13,1,2050
172,Arbys,590,10,1,1510
173,Arbys,600,12,1,1240
174,Arbys,430,5,1,1060
175,Arbys,650,15,1,1760
176,Arbys,1030,17,1,2940
177,Arbys,730,6,0,2140
178,Arbys,470,3.5,0,1520
179,Arbys,980,14,0,2130
180,Arbys,290,2,0,860
181,Arbys,290,3.5,0,720
182,Arbys,220,3.5,0,890
183,Arbys,210,3,0,780
184,Arbys,240,4.5,0,670
185,Arbys,300,6,0,930
186,Arbys,240,4.5,0,670
187,Arbys,200,2.5,0,760
188,Arbys,70,2.5,0,100
189,Arbys,430,8,0,1000
190,Arbys,420,9,0,700
191,Arbys,230,7,0,870
192,Arbys,720,15,0,1310
193,Burger King,1550,47,8,1820
194,Burger King,1000,24,3,1320
195,Burger King,330,7,0,830
196,Burger King,290,6,0.5,720
197,Burger King,1040,28,2.5,1900
198,Burger King,730,9,0,1930
199,Burger King,1100,29,3,1850
200,Burger King,300,6,0,710
201,Burger King,520,14,1,1180
202,Burger King,450,12,1,960
203,Burger King,360,8,0,520
204,Burger King,900,25,3,1740
205,Burger King,580,13,1.5,1030
206,Burger King,1220,28,3,2050
207,Burger King,260,4,0,490
208,Burger King,550,12,1.5,1140
209,Burger King,990,24,3,1550
210,Burger King,940,21,2.5,1380
211,Burger King,310,4,0.5,450
212,Burger King,1250,31,3.5,2270
213,Burger King,730,16,1.5,1570
214,Burger King,970,24,3,1640
215,Burger King,1100,24,1,1620
216,Burger King,770,16,2,1360
217,Burger King,900,19,2,1050
218,Burger King,990,24,2,1480
219,Burger King,660,12,1.5,980
220,Burger King,760,16,1,1410
221,Burger King,340,5,0,510
222,Burger King,380,8,1,730
223,Burger King,590,12,0,1540
224,Burger King,720,13,0,1960
225,Burger King,550,10,0,1640
226,Burger King,690,12,1,1750
227,Burger King,530,5,0,1640
228,Burger King,670,7,0,1760
229,Burger King,560,7,0,980
230,Burger King,700,9,0,1090
231,Burger King,320,6,0,650
232,Burger King,450,7,0,1070
233,Burger King,220,4,0,540
234,Burger King,230,5,0,520
235,Burger King,830,14,0.5,2100
236,Burger King,440,4.5,0,630
237,Burger King,530,4.5,0,1360
238,Burger King,410,3,0,1030
239,Burger King,480,2.5,0,1160
240,Burger King,730,9,0,1930
241,Burger King,290,3,1.5,780
242,Burger King,190,2,0,310
243,Burger King,290,3,0,460
244,Burger King,950,11,0,1530
245,Burger King,470,5,0,890
246,Burger King,570,8,0,1340
247,Burger King,580,8,0.5,2310
248,Burger King,430,4.5,0,760
249,Burger King,670,7,0.5,1070
250,Burger King,470,3.5,0,850
251,Burger King,330,8,1,980
252,Burger King,310,6,1,960
253,Burger King,300,3,0,950
254,Burger King,630,7,1,1390
255,Burger King,340,3.5,0,1200
256,Burger King,410,3,0,870
257,Burger King,840,12,1,1760
258,Burger King,210,3,0,570
259,Burger King,530,7,0,1420
260,Burger King,410,4.5,0,850
261,Burger King,700,7,0,1140
262,Burger King,760,11,0,1720
263,Dairy Queen,1000,26,2,1610
264,Dairy Queen,800,20,2,1280
265,Dairy Queen,630,13,1,1250
266,Dairy Queen,540,11,1,1020
267,Dairy Queen,570,11,1,820
268,Dairy Queen,400,9,1,930
269,Dairy Queen,630,18,2,1240
270,Dairy Queen,1030,9,1,2780
271,Dairy Queen,1260,11,1,3500
272,Dairy Queen,420,11,1,1140
273,Dairy Queen,390,11,1,1000
274,Dairy Queen,380,11,1,900
275,Dairy Queen,330,8,1,1050
276,Dairy Queen,290,7,1,900
277,Dairy Queen,350,8,1,1000
278,Dairy Queen,310,3,0,830
279,Dairy Queen,250,1,0,500
280,Dairy Queen,550,25,0,900
281,Dairy Queen,1050,43,1,2210
282,Dairy Queen,760,21,2,1570
283,Dairy Queen,260,4,0,450
284,Dairy Queen,470,3,0,1210
285,Dairy Queen,400,9,1,930
286,Dairy Queen,640,18,2,1240
287,Dairy Queen,540,13,1,750
288,Dairy Queen,350,7,1,680
289,Dairy Queen,780,22,2,1390
290,Dairy Queen,580,7,0,910
291,Dairy Queen,910,13,0.5,2210
292,Dairy Queen,350,3,0,960
293,Dairy Queen,500,8,0,1190
294,Dairy Queen,640,8,0,1530
295,Dairy Queen,520,10,0,1470
296,Dairy Queen,280,2,0,670
297,Dairy Queen,600,5,0,1250
298,Dairy Queen,350,5,0,820
299,Dairy Queen,380,9,0,1540
300,Dairy Queen,150,0.5,0,730
301,Dairy Queen,360,3,0,1040
302,Dairy Queen,280,4,0,800
303,Dairy Queen,20,0,0,15
304,Dairy Queen,550,8,0,1420
305,Subway,320,4,0,680
306,Subway,640,8,0,1360
307,Subway,430,6,0,590
308,Subway,860,12,0,1180
309,Subway,580,11,0,1470
310,Subway,1160,22,0,2940
311,Subway,500,9,1,1310
312,Subway,1000,18,2,2620
313,Subway,180,0.5,0,450
314,Subway,290,1,0,830
315,Subway,580,2,0,1660
316,Subway,330,1,0,890
317,Subway,660,2,0,1780
318,Subway,570,7,0,1600
319,Subway,1140,14,0,3200
320,Subway,570,10,1,1080
321,Subway,1140,20,2,2160
322,Subway,460,6,0,1140
323,Subway,920,12,0,2280
324,Subway,370,4,0,1140
325,Subway,740,8,0,2280
326,Subway,470,4.5,0,1770
327,Subway,940,9,0,3540
328,Subway,410,6,0,1300
329,Subway,820,12,0,2600
330,Subway,550,10,0,1470
331,Subway,1100,20,0,2940
332,Subway,480,7,1,950
333,Subway,960,14,2,1900
334,Subway,320,2,0,640
335,Subway,640,4,0,1280
336,Subway,200,1,0,390
337,Subway,320,2,0,700
338,Subway,640,4,0,1400
339,Subway,350,1.5,0,540
340,Subway,700,3,0,1080
341,Subway,480,9,1,1520
342,Subway,960,18,2,3040
343,Subway,380,5,0,1060
344,Subway,760,10,0,2120
345,Subway,310,2,0,880
346,Subway,620,4,0,1760
347,Subway,370,5,0,1210
348,Subway,740,10,0,1420
349,Subway,420,3,0,690
350,Subway,840,6,0,1380
351,Subway,380,1,0,900
352,Subway,760,2,0,1800
353,Subway,470,4,0,620
354,Subway,940,8,0,1240
355,Subway,390,3.5,0,860
356,Subway,780,7,0,1720
357,Subway,180,0.5,0,380
358,Subway,280,1,0,810
359,Subway,560,2,0,1620
360,Subway,280,1,0,820
361,Subway,560,2,0,1640
362,Subway,490,9,1,1480
363,Subway,980,18,2,2960
364,Subway,150,0,0,190
365,Subway,230,1,0,310
366,Subway,460,2,0,620
367,Subway,390,1,0,800
368,Subway,780,2,0,1600
369,Subway,300,3,0,1120
370,Subway,150,4,0,420
371,Subway,400,11,0,1250
372,Subway,330,8,1,1080
373,Subway,110,1,0,590
374,Subway,360,4,0,1100
375,Subway,280,4.5,0,1320
376,Subway,150,0,0,680
377,Subway,510,12,1,1040
378,Subway,180,4,0,820
379,Subway,220,1.5,0,490
380,Subway,230,6,0,1060
381,Subway,230,5,0,1060
382,Subway,310,7,1,720
383,Subway,140,0.5,0,280
384,Subway,140,1,0,450
385,Subway,310,9,1,1280
386,Subway,210,4,0,830
387,Subway,140,1,0,640
388,Subway,200,5,0,910
389,Subway,200,1,0,660
390,Subway,310,4,0,370
391,Subway,110,1,0,580
392,Subway,110,1,0,570
393,Subway,50,0,0,65
394,Subway,760,12,1,2250
395,Subway,730,10,0.5,1900
396,Subway,810,13,0.5,2970
397,Subway,740,11,0,1270
398,Subway,680,9,0,1070
399,Subway,790,13,0,1350
400,Subway,820,14,0,1420
401,Taco Bell,540,7,1,1360
402,Taco Bell,460,7,1,1320
403,Taco Bell,510,7,0,1090
404,Taco Bell,370,4,0,960
405,Taco Bell,550,8,0,1270
406,Taco Bell,440,5,0,1030
407,Taco Bell,410,4,0,1100
408,Taco Bell,420,7,0,1090
409,Taco Bell,390,5,0,1050
410,Taco Bell,390,5,0,1090
411,Taco Bell,760,6,0,1960
412,Taco Bell,780,7,0,1900
413,Taco Bell,740,5,0,1750
414,Taco Bell,420,3.5,0,930
415,Taco Bell,380,8,1,930
416,Taco Bell,610,9,0,1510
417,Taco Bell,610,9,0,1520
418,Taco Bell,630,10,0.5,1530
419,Taco Bell,550,9,0.5,1130
420,Taco Bell,620,10,0,1440
421,Taco Bell,630,11,0.5,1410
422,Taco Bell,650,12,0.5,1450
423,Taco Bell,400,4.5,0,960
424,Taco Bell,710,13,1,2260
425,Taco Bell,650,10,0,2230
426,Taco Bell,670,11,0.5,2080
427,Taco Bell,540,8,0,1740
428,Taco Bell,550,9,0,1750
429,Taco Bell,570,10,0.5,1760
430,Taco Bell,410,6,0,1030
431,Taco Bell,880,14,1,2020
432,Taco Bell,830,11,0,1940
433,Taco Bell,820,12,1,2020
434,Taco Bell,170,3,0,460
435,Taco Bell,320,5,0,770
436,Taco Bell,160,3.5,0,350
437,Taco Bell,200,4.5,0,370
438,Taco Bell,170,4,0,290
439,Taco Bell,200,5,0,320
440,Taco Bell,320,5,0,640
441,Taco Bell,350,6,0,670
442,Taco Bell,340,7,0,640
443,Taco Bell,350,8,0.5,630
444,Taco Bell,380,6,0,650
445,Taco Bell,320,5,0,770
446,Taco Bell,170,3.5,0,370
447,Taco Bell,200,5,0,390
448,Taco Bell,250,4,0,550
449,Taco Bell,320,5,0,760
450,Taco Bell,170,4,0,340
451,Taco Bell,200,5,0,370
452,Taco Bell,230,5,0,530
453,Taco Bell,200,4,0,510
454,Taco Bell,250,3,0,510
455,Taco Bell,340,4,0,530
456,Taco Bell,340,4,0,570
457,Taco Bell,370,5,0,570
458,Taco Bell,600,8,0.5,1010
459,Taco Bell,420,6,0,1070
460,Taco Bell,440,7,0,1090
461,Taco Bell,600,8,0.5,1240
462,Taco Bell,350,3,0,950
463,Taco Bell,340,3,0,1020
464,Taco Bell,340,3,0,1060
465,Taco Bell,150,1,0,460
466,Taco Bell,140,2,0,290
467,Taco Bell,150,2,0,500
468,Taco Bell,170,3,0,500
469,Taco Bell,490,10,1,810
470,Taco Bell,490,10,1,890
471,Taco Bell,490,10,1,890
472,Taco Bell,490,10,1,880
473,Taco Bell,570,12,1,1110
474,Taco Bell,300,5,0,550
475,Taco Bell,270,4,0,510
476,Taco Bell,270,4,0,550
477,Taco Bell,710,6,0,1420
478,Taco Bell,760,6,0,1100
479,Taco Bell,430,5,0,690
480,Taco Bell,320,1.5,0,600
481,Taco Bell,260,4.5,0,550
482,Taco Bell,410,6,0,960
483,Taco Bell,210,4,0,560
484,Taco Bell,420,4.5,0,870
485,Taco Bell,430,5,0,900
486,Taco Bell,560,4,0,1520
487,Taco Bell,580,4,0,1460
488,Taco Bell,540,3,0,1310
489,Taco Bell,480,11,1,1000
490,Taco Bell,190,5,0,450
491,Taco Bell,520,12,1,1210
492,Taco Bell,620,8,0,1290
493,Taco Bell,380,8,1,930
494,Taco Bell,290,3,0,640
495,Taco Bell,650,13,0.5,1480
496,Taco Bell,540,6,0,1110
497,Taco Bell,270,4,0,650
498,Taco Bell,580,9,1,1270
499,Taco Bell,470,6,0,1120
500,Taco Bell,540,8,1,860
501,Taco Bell,270,7,1,740
502,Taco Bell,440,10,0.5,840
503,Taco Bell,440,10,0.5,840
504,Taco Bell,460,11,1,890
505,Taco Bell,180,2.5,0,540
506,Taco Bell,400,4,0,900
507,Taco Bell,200,2.5,0,440
508,Taco Bell,390,8,0.5,1050
509,Taco Bell,520,12,1,1250
510,Taco Bell,700,9,0.5,1550
511,Taco Bell,780,10,0.5,1850
512,Taco Bell,580,9,1,1270
513,Taco Bell,780,10,1,1340
514,Taco Bell,720,7,0,1260
515,Taco Bell,720,8,1,1340
